;代码	X	Y	名称	范围	数量	时间
0	665	86	弓箭守卫	0	1	1
0	672	93	弓箭守卫	0	1	1
2	417	558	弓箭守卫	0	1	1
2	416	559	弓箭守卫	0	1	1
2	423	566	弓箭守卫	0	1	1
2	424	565	弓箭守卫	0	1	1
0	340	513	弓箭守卫	0	1	1
0	341	514	弓箭守卫	0	1	1
0	367	487	弓箭守卫	0	1	1
0	368	488	弓箭守卫	0	1	1
0	318	244	弓箭守卫	0	1	1
0	300	207	弓箭守卫	0	1	1
0	310	227	弓箭守卫	0	1	1
0	313	230	弓箭守卫	0	1	1
0	309	286	弓箭守卫	0	1	1
0	329	289	弓箭守卫	0	1	1
0	355	280	弓箭守卫	0	1	1
0	362	301	弓箭守卫	0	1	1
0	374	291	弓箭守卫	0	1	1
3	325	311	弓箭守卫	0	1	1
3	348	332	弓箭守卫	0	1	1
3	296	334	弓箭守卫	0	1	1
3	302	340	弓箭守卫	0	1	1
3	305	290	弓箭守卫	0	1	1
3	288	305	弓箭守卫	0	1	1
3	302	370	弓箭守卫	0	1	1
3	333	317	弓箭守卫	0	1	1
2	510 	479	弓箭守卫	0	1	1
0	567	621	弓箭守卫	0	1	1
0	600	576	弓箭守卫	0	1	1
0	662	558	弓箭守卫	0	1	1
0	320	36	弓箭守卫	0	1	1
0	327	42	弓箭守卫	0	1	1
1	566	544	弓箭守卫	0	1	1
1	555	544	弓箭守卫	0	1	1
3	273	743	弓箭守卫	0	1	1
3	274	744	弓箭守卫	0	1	1
3	512	770	弓箭守卫	0	1	1
3	519	777	弓箭守卫	0	1	1
2	292	60	弓箭守卫	0	1	1
2	298	65	弓箭守卫	0	1	1
2	552	80	弓箭守卫	0	1	1
2	560	88	弓箭守卫	0	1	1
1	46	39	弓箭守卫	0	1	1
1	52	33	弓箭守卫	0	1	1
5	136	336	弓箭守卫	0	1	1
5	131	301	弓箭守卫	0	1	1
5	140	362	弓箭守卫	0	1	1
5	169	352	弓箭守卫	0	1	1
5	164	357	弓箭守卫	0	1	1
5	122	334	弓箭守卫	0	1	1
5	143	324	弓箭守卫	0	1	1
