[2018-7-13 1:20:44] [121.22.243.29] 角色名:地方撒	Ident:1018		Recog:0		Param:0		tag:0		series:46		string:
[2018-7-13 1:20:44] [121.22.243.29] 角色名:地方撒	Ident:84		Recog:786446		Param:0		tag:0		series:0		string:
[2018-7-13 1:20:44] [121.22.243.29] 角色名:地方撒	Ident:81		Recog:1		Param:0		tag:0		series:0		string:
[2018-7-13 1:20:44] [121.22.243.29] 角色名:地方撒	Ident:10431		Recog:1310720		Param:0		tag:0		series:0		string:
[2018-7-13 1:20:44] [121.22.243.29] 角色名:地方撒	Ident:10433		Recog:0		Param:0		tag:0		series:0		string:
[2018-7-13 1:20:44] [121.22.243.29] 角色名:地方撒	Ident:1200		Recog:253074848		Param:0		tag:0		series:0		string:
[2018-7-13 1:20:45] [121.22.243.29] 角色名:地方撒	Ident:3017		Recog:0		Param:0		tag:26		series:0		string:
[2018-7-13 1:20:46] [121.22.243.29] 角色名:地方撒	Ident:1050		Recog:253074848		Param:23179		tag:0		series:0		string:>Lvh`nlYOqmici`m
[2018-7-13 1:20:49] [121.22.243.29] 角色名:地方撒	Ident:1010		Recog:231942896		Param:0		tag:0		series:0		string:
[2018-7-13 1:20:50] [121.22.243.29] 角色名:地方撒	Ident:1011		Recog:231942896		Param:0		tag:0		series:0		string:@安全
[2018-7-13 1:20:52] [121.22.243.29] 角色名:地方撒	Ident:3013		Recog:21954887		Param:0		tag:1		series:0		string:
[2018-7-13 1:20:52] [121.22.243.29] 角色名:地方撒	Ident:3013		Recog:21823815		Param:0		tag:0		series:0		string:
[2018-7-13 1:21:6] [121.22.243.29] 角色名:地方撒	Ident:3017		Recog:0		Param:0		tag:26		series:0		string:
[2018-7-13 1:21:26] [121.22.243.29] 角色名:地方撒	Ident:3017		Recog:0		Param:0		tag:26		series:0		string:
[2018-7-13 1:21:28] [121.22.243.29] 角色名:地方撒	Ident:3013		Recog:21954889		Param:0		tag:3		series:0		string:
[2018-7-13 1:21:28] [121.22.243.29] 角色名:地方撒	Ident:3013		Recog:21954891		Param:0		tag:2		series:0		string:
[2018-7-13 1:21:29] [121.22.243.29] 角色名:地方撒	Ident:3013		Recog:21954893		Param:0		tag:2		series:0		string:
[2018-7-13 1:21:30] [121.22.243.29] 角色名:地方撒	Ident:3013		Recog:21954895		Param:0		tag:2		series:0		string:
[2018-7-13 1:21:30] [121.22.243.29] 角色名:地方撒	Ident:3013		Recog:21823825		Param:0		tag:1		series:0		string:
[2018-7-13 1:21:31] [121.22.243.29] 角色名:地方撒	Ident:3013		Recog:21692755		Param:0		tag:1		series:0		string:
[2018-7-13 1:21:33] [121.22.243.29] 角色名:地方撒	Ident:3013		Recog:21823825		Param:0		tag:5		series:0		string:
[2018-7-13 1:21:34] [121.22.243.29] 角色名:地方撒	Ident:3013		Recog:21954897		Param:0		tag:4		series:0		string:
[2018-7-13 1:21:34] [121.22.243.29] 角色名:地方撒	Ident:3013		Recog:22085971		Param:0		tag:3		series:0		string:
[2018-7-13 1:21:35] [121.22.243.29] 角色名:地方撒	Ident:3013		Recog:22085969		Param:0		tag:6		series:0		string:
[2018-7-13 1:21:37] [121.22.243.29] 角色名:地方撒	Ident:1010		Recog:232029584		Param:0		tag:0		series:0		string:
[2018-7-13 1:21:47] [121.22.243.29] 角色名:地方撒	Ident:3017		Recog:6		Param:0		tag:26		series:0		string:
[2018-7-13 1:22:7] [121.22.243.29] 角色名:地方撒	Ident:3017		Recog:6		Param:0		tag:26		series:0		string:
[2018-7-13 1:22:28] [121.22.243.29] 角色名:地方撒	Ident:3017		Recog:6		Param:0		tag:26		series:0		string:
[2018-7-13 1:22:48] [121.22.243.29] 角色名:地方撒	Ident:3017		Recog:6		Param:0		tag:26		series:0		string:
[2018-7-13 1:23:9] [121.22.243.29] 角色名:地方撒	Ident:3017		Recog:6		Param:0		tag:26		series:0		string:
[2018-7-13 1:23:28] [121.22.243.29] 角色名:地方撒	Ident:3013		Recog:22217043		Param:0		tag:3		series:0		string:
[2018-7-13 1:23:29] [121.22.243.29] 角色名:地方撒	Ident:3017		Recog:3		Param:0		tag:26		series:0		string:
[2018-7-13 1:23:50] [121.22.243.29] 角色名:地方撒	Ident:3017		Recog:3		Param:0		tag:26		series:0		string:
[2018-7-13 1:24:11] [121.22.243.29] 角色名:地方撒	Ident:3017		Recog:3		Param:0		tag:26		series:0		string:
[2018-7-13 1:24:32] [121.22.243.29] 角色名:地方撒	Ident:3017		Recog:3		Param:0		tag:26		series:0		string:
[2018-7-13 1:24:52] [121.22.243.29] 角色名:地方撒	Ident:3017		Recog:3		Param:0		tag:26		series:0		string:
[2018-7-13 1:25:13] [121.22.243.29] 角色名:地方撒	Ident:3017		Recog:3		Param:0		tag:26		series:0		string:
[2018-7-13 1:25:33] [121.22.243.29] 角色名:地方撒	Ident:3017		Recog:3		Param:0		tag:26		series:0		string:
[2018-7-13 1:25:54] [121.22.243.29] 角色名:地方撒	Ident:3017		Recog:3		Param:0		tag:26		series:0		string:
[2018-7-13 1:26:15] [121.22.243.29] 角色名:地方撒	Ident:3017		Recog:3		Param:0		tag:26		series:0		string:
[2018-7-13 1:26:36] [121.22.243.29] 角色名:地方撒	Ident:3017		Recog:3		Param:0		tag:26		series:0		string:
