[2018-7-19 7:23:19] [111.85.235.229] 角色名:日你锅敲	Ident:1018		Recog:0		Param:0		tag:0		series:46		string:
[2018-7-19 7:23:19] [111.85.235.229] 角色名:日你锅敲	Ident:84		Recog:589833		Param:0		tag:0		series:0		string:
[2018-7-19 7:23:19] [111.85.235.229] 角色名:日你锅敲	Ident:81		Recog:1		Param:0		tag:0		series:0		string:
[2018-7-19 7:23:19] [111.85.235.229] 角色名:日你锅敲	Ident:10431		Recog:1310720		Param:0		tag:0		series:0		string:
[2018-7-19 7:23:19] [111.85.235.229] 角色名:日你锅敲	Ident:10433		Recog:0		Param:0		tag:0		series:0		string:
[2018-7-19 7:23:19] [111.85.235.229] 角色名:日你锅敲	Ident:1200		Recog:353203024		Param:1		tag:0		series:0		string:
[2018-7-19 7:23:21] [111.85.235.229] 角色名:日你锅敲	Ident:1010		Recog:233785392		Param:0		tag:0		series:0		string:
[2018-7-19 7:23:21] [111.85.235.229] 角色名:日你锅敲	Ident:3017		Recog:851978		Param:0		tag:31		series:0		string:
[2018-7-19 7:23:22] [111.85.235.229] 角色名:日你锅敲	Ident:1011		Recog:233785392		Param:0		tag:0		series:0		string:@输入密码
[2018-7-19 7:23:26] [111.85.235.229] 角色名:日你锅敲	Ident:1065		Recog:233785392		Param:0		tag:0		series:0		string:1721998
[2018-7-19 7:23:28] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:21627212		Param:0		tag:2		series:0		string:
[2018-7-19 7:23:28] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:21758286		Param:0		tag:3		series:0		string:
[2018-7-19 7:23:30] [111.85.235.229] 角色名:日你锅敲	Ident:1050		Recog:353203024		Param:-28576		tag:0		series:0		string:{v^iiidghC`n`gac
[2018-7-19 7:23:30] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:21889360		Param:0		tag:3		series:0		string:
[2018-7-19 7:23:31] [111.85.235.229] 角色名:日你锅敲	Ident:3013		Recog:22020434		Param:0		tag:3		series:0		string:
[2018-7-19 7:23:32] [111.85.235.229] 角色名:日你锅敲	Ident:3011		Recog:22085971		Param:0		tag:3		series:0		string:
[2018-7-19 7:23:34] [111.85.235.229] 角色名:日你锅敲	Ident:1010		Recog:232457136		Param:0		tag:0		series:0		string:
[2018-7-19 7:23:35] [111.85.235.229] 角色名:日你锅敲	Ident:1011		Recog:232457136		Param:0		tag:0		series:0		string:@回馈地图一
